Institution,Titre du poste,Domaine,Date limite
Concern Worldwide Haiti,Officier de Projet  en Moyens de Subsistance en Milieu Urbain,Sciences économiques et politiques,25 Mai 15
USAID|Haiti/AVANSE,Consultant/e Responsable de Formation sur le Montage de Serre,Agriculture – Agroalimentaire,24 Mai 15
MDM Espagne,Adjoint à la Coordination Projet Cholèra,Santé et Professions médicales,24 Mai 15
PSC-CC,Coordonnateur,Environnement et Sciences de la Terre,24 Mai 15
CRS,Livelihoods Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",24 Mai 15
CRS,Social Compliance Officer,Sciences Humaines et Sociales,24 Mai 15
Concern Worldwide Haiti,Agents d’Epargne et de Crédit,- - Non-defini - -,22 Mai 15
GECA,Auditeur Senior,"Management/Gestion, Finance, Comptabilité et Commerce",21 Mai 15
GOAL Haiti,Guard,Sécurité,21 Mai 15
USAID|Haiti/AVANSE,M&E Assistant,Environnement et Sciences de la Terre,21 Mai 15
Deloitte,Officiers de suivi et de l’évaluation (S&E),Santé et Professions médicales,20 Mai 15
WeltHungerHilfe (ex Agro Action Allemande),Coordonnateur de Projet,Sciences de l’Ingénieur,19 Mai 15
CMMB,Accounting and Compliance Officer,"Management/Gestion, Finance, Comptabilité et Commerce",19 Mai 15
Centre Hospitalo - Universitaire Saint-François de Sales,Technicien-Responsable des Equipements Biomédicaux,Métiers du bâtiment et autres,18 Mai 15
FAO,Consultant National Spécialiste en Technologie et Commercialisation laitière,Agriculture – Agroalimentaire,17 Mai 15
FAO,Animateur/Animatrice de Champ école paysan (CEP) -  VA 010/2015 ADM,Agriculture – Agroalimentaire,17 Mai 15
Croix Rouge Suisse,Officier Santé,Santé et Professions médicales,16 Mai 15
Croix Rouge Suisse,Technicien Santé,Santé et Professions médicales,16 Mai 15
Sevis finansye Fonkoze,Chief Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",16 Mai 15
Sevis finansye Fonkoze,Training Manager,"Management/Gestion, Finance, Comptabilité et Commerce",16 Mai 15
PATH,Consultant spécialisé en Agro-économie pour le MARNDR,Agriculture – Agroalimentaire,15 Mai 15
Protos Haïti,Représentant Résident,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mai 15
Lakou Lapè,Assistant to Executive Director,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mai 15
Executives Without Borders,Haiti Development Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mai 15
BWH/ILO,Computer Information Technology Clerk,Sciences Informatiques,13 Mai 15
Citibank S.A.,Risk and Control Manager,"Management/Gestion, Finance, Comptabilité et Commerce",12 Mai 15
Citibank S.A.,Finance Analyst,"Management/Gestion, Finance, Comptabilité et Commerce",12 Mai 15
Citibank S.A.,Compliance Analyst-AML,"Management/Gestion, Finance, Comptabilité et Commerce",12 Mai 15
Citibank S.A.,Implementation & Product Manager,Sciences économiques et politiques,12 Mai 15
BIT,Assistant(e) au programme –Entreprise,Sciences Humaines et Sociales,11 Mai 15
Save the Children en Haiti,Officier Sr. de Logistique,"Management/Gestion, Finance, Comptabilité et Commerce",8 Mai 15
Save the Children en Haiti,“Award & Compliance Manager”,"Management/Gestion, Finance, Comptabilité et Commerce",8 Mai 15
GOAL Haiti,Assistant(e) Promotion d'hygiène,Sciences Humaines et Sociales,8 Mai 15
GOAL Haiti,Hygiène Promotion Officer,Sciences Humaines et Sociales,8 Mai 15
Save the Children en Haiti,Officier d’informatique,Sciences Informatiques,7 Mai 15
Good Neighbors International,Education officer,Sciences de l’Education,7 Mai 15
Good Neighbors International,Senior Logistic officer,"Management/Gestion, Finance, Comptabilité et Commerce",7 Mai 15
ACF,Responsable de Programme Sécurité Alimentaire et Moyens d’Existence,Agriculture – Agroalimentaire,5 Mai 15
BWH/ILO,Expert en Droit du Travail,Droit,4 Mai 15
J/P HRO,Recherche d'un consultant ou d'une firme spécialisée en expertise immobilière,Métiers du bâtiment et autres,4 Mai 15
Help-Ev,Assistant coordonateur de projet,Sciences de l’Ingénieur,3 Mai 15
Croix Rouge Americaine,Senior National Technical Expert - Gender and Community Mobilization (National Position),Sciences Humaines et Sociales,1 Mai 15
J/P HRO,Recherche d'un consultant ou d'une firme  en sociologie,"Management/Gestion, Finance, Comptabilité et Commerce",30 Avril 15
FHI/Humanité & Inclusion_ HI,Physiothérapeute formateur,Santé et Professions médicales,30 Avril 15
UMCOR,Consultant- Construction Monitoring Engineer,Sciences de lâ€™IngÃ©nieur,30 Avril 15
EDC,"Monitoring, Evaluation and Learning Specialist","Management/Gestion, Finance, ComptabilitÃ© et Commerce",30 Avril 15
EDC,Chief of Party,Sciences de lâ€™Education,30 Avril 15
EDC,Education Advisor,Sciences de lâ€™Education,30 Avril 15
EDC,Curriculum Developer,Sciences de lâ€™Education,30 Avril 15
EDC,Director of Finance and Administration,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",30 Avril 15
Pathfinder International,Chief of Party,SantÃ© et Professions mÃ©dicales,30 Avril 15
Pathfinder International,Senior Operations Director,SantÃ© et Professions mÃ©dicales,30 Avril 15
GOAL Haiti,Officier DÃ©veloppement Economique,Sciences Humaines et Sociales,28 Avril 15
MSI - KONEKTE,Directeur de la Cellule dâ€™Organisation et de MÃ©thodes,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",28 Avril 15
Oxfam Intermon,Food System Sector Manager,Agriculture â€“ Agroalimentaire,28 Avril 15
FAO,Technicien Agricole,Agriculture â€“ Agroalimentaire,26 Avril 15
FAO,IngÃ©nieur Agronome,Agriculture â€“ Agroalimentaire,26 Avril 15
EPER,IngÃ©nieur Civil,MÃ©tiers du bÃ¢timent et autres,26 Avril 15
GOAL Haiti,Consultant en SystÃ¨me d'Information GÃ©ographique,Environnement et Sciences de la Terre,24 Avril 15
PRODEV,Chauffeur,Transport et Logistique,24 Avril 15
PRODEV,Encadreur Communautaire PÃ©dagogique,Sciences de lâ€™Education,24 Avril 15
ABT/Shops Plus Project USAID,Conseiller(e) Technique en gestion financiÃ¨re,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",24 Avril 15
Help-Ev,Assistant(e) Administratif(ve) Finance/RH,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",23 Avril 15
UCLBP,ChargÃ© (e) de mission  Habitat pour Martissant et Baillergeau,"Architecture, Urbanisme et AmÃ©nagement du territoire",23 Avril 15
UCLBP,Chef des opÃ©rations pour Martissant et Baillergeau,"Architecture, Urbanisme et AmÃ©nagement du territoire",23 Avril 15
J/P HRO,Logistics Assistant,SecrÃ©tariat,22 Avril 15
GOAL Haiti,Officier de Projet GRD,Sciences Humaines et Sociales,21 Avril 15
GOAL Haiti,"Assistant Suivi,Evaluation,Redevabilite & Apprentissage",Sciences Humaines et Sociales,21 Avril 15
GOAL Haiti,Agent de Terrain de GRD,Sciences Humaines et Sociales,21 Avril 15
FAO,"Consultant National /Ã‰tude diagnostique Socio-Ã©conomique, Analyse du Genre et Situation de RÃ©fÃ©rence",Agriculture â€“ Agroalimentaire,21 Avril 15
GOAL Haiti,Assistant Liaison Communautaire,Sciences Humaines et Sociales,21 Avril 15
GOAL Haiti,Assistant(e) Administratif(ve),SecrÃ©tariat,21 Avril 15
GOAL Haiti,Assistant DÃ©veloppement Economique,Sciences Ã©conomiques et politiques,20 Avril 15
GOAL Haiti,Consultant Appui technique - Volet DÃ©veloppement Ã‰conomique du Programme intÃ©grÃ© dâ€™AmÃ©nagement ...,Sciences Ã©conomiques et politiques,20 Avril 15
CRS,Security and Fleet Manager,Transport et Logistique,18 Avril 15
ACF,Adjoint(e) Responsable du DÃ©partement SÃ©curitÃ© Alimentaire et Moyens d'Existence,Agriculture â€“ Agroalimentaire,18 Avril 15
Croix Rouge Americaine,Senior Social Mobilization Coordinator (National),Sciences Humaines et Sociales,17 Avril 15
Croix Rouge Americaine,Senior Beneficiary Communications Coordinator (National),Communication et Journalisme,17 Avril 15
Croix Rouge Americaine,Environmental Coordinator (National),Environnement et Sciences de la Terre,17 Avril 15
Croix Rouge Americaine,Grants Coordinator (National),Sciences Ã©conomiques et politiques,17 Avril 15
Croix Rouge Americaine,Youth Project Officer (National),"Management/Gestion, Finance, ComptabilitÃ© et Commerce",17 Avril 15
Entrepreneurs du Monde,Coordinateur Technique - Osez l'Entreprise,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",17 Avril 15
Les Chocolateries Askanya,DÃ©marcheur/DÃ©marcheuse,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",17 Avril 15
Croix Rouge Americaine,Chefs dâ€™Ã©quipes de Mobilisation Sociale,Sciences Humaines et Sociales,17 Avril 15
Croix Rouge Americaine,Officier de Mobilisation Sociale,Sciences Humaines et Sociales,17 Avril 15
Croix Rouge Americaine,Disaster Risk Reduction (DRR) Coordinator (National),Sciences Humaines et Sociales,17 Avril 15
Croix Rouge Americaine,Canaan Program Assistant (National),"Management/Gestion, Finance, ComptabilitÃ© et Commerce",17 Avril 15
MSH,Officier(e) en Communication,Communication et Journalisme,17 Avril 15
J/P HRO,Human Resources Director,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",17 Avril 15
Secteur prive,Responsable des Operations,Sciences de lâ€™IngÃ©nieur,17 Avril 15
"International Development Group, LLC",Office Manager,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",16 Avril 15
Futures Group International,Consultant pour la rÃ©alisation du diagnostic institutionnel et technique de lâ€™IBESR,Sciences Humaines et Sociales,15 Avril 15
GOAL Haiti,DRR Project Manager,"Architecture, Urbanisme et AmÃ©nagement du territoire",13 Avril 15
Secteur prive,Assistant(e) Marketing,Marketing,11 Avril 15
Croix Rouge Americaine,Canaan Deputy Program Manager and Technical Coordinator (National),"Management/Gestion, Finance, ComptabilitÃ© et Commerce",10 Avril 15
Croix Rouge Americaine,Officier Administratif,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",10 Avril 15
Action Aid,Project officer,Agriculture â€“ Agroalimentaire,10 Avril 15
Concern Worldwide Haiti,Officier de Transport,Transport et Logistique,10 Avril 15
ACF,"Adjoint(e) Responsable de DÃ©partement Eau, HygiÃ¨ne et Assainissement",Sciences de lâ€™IngÃ©nieur,10 Avril 15
Living Water International,Human Resources Officer,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",10 Avril 15
FCM/PCM,Informaticien,Sciences Informatiques,9 Avril 15
FCM/PCM,ChargÃ© de projets,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",9 Avril 15
JobPaw,Test Senior,"Arts, Culture, Design et mode",7 Avril 15
JobPaw,Test officer,"Architecture, Urbanisme et AmÃ©nagement du territoire",6 Avril 15
CARE Haiti,Training Officer,Sciences Humaines et Sociales,6 Avril 15
UNESCO,Assistant(e) de programme,SecrÃ©tariat,6 Avril 15
MARNDR/PTTA,Consultant international pour une formation sur les semences,Agriculture â€“ Agroalimentaire,6 Avril 15
Save the Children en Haiti,Field Office WASH Manager,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",5 Avril 15
Palladium Haiti Limited S.A.,Senior Finance & Administration Officer,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",3 Avril 15
Heifer Haiti,Officier de Communication,Communication et Journalisme,3 Avril 15
Creative Associates International,Chief of Party,Sciences de lâ€™Education,3 Avril 15
Creative Associates International,Deputy Chief of Party,Sciences de lâ€™Education,3 Avril 15
Creative Associates International,"Technical Specialists (Accelerated Learning, Life skills, Curriculum Development, Community Engageme",Sciences de lâ€™Education,3 Avril 15
Creative Associates International,Monitoring and Evaluation Specialist,Sciences de lâ€™Education,3 Avril 15
Creative Associates International,Senior Education and Training Specialist,Sciences de lâ€™Education,3 Avril 15
Creative Associates International,Administrative & Financial Manager,Sciences de lâ€™Education,3 Avril 15
EDM/Palmis Mikwofinans Sos,Agent Administratif,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",2 Avril 15
EDM/Palmis Mikwofinans Sos,Agent de CrÃ©dit,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",2 Avril 15
EDM/Palmis Mikwofinans Sos,Agent Social,Sciences Humaines et Sociales,2 Avril 15
Global Communities - (formerly CHF),Gestionnaire des Achats,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",2 Avril 15
EDM/Palmis Mikwofinans Sos,Directeur d'agence,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",1 Avril 15
RODEP,Consultant-formateur en Ã©valuation des MUSO et la mise en place dâ€™un rÃ©seau,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
GRET Haiti,Un(e) technicien en SIG et cartographie (e),"Architecture, Urbanisme et AmÃ©nagement du territoire",31 Mars 15
MSI - KONEKTE,"Communication Manager, KONEKTE, Port-au-Prince, Haiti",Communication et Journalisme,31 Mars 15
MSI - KONEKTE,Director of Finance and Administration,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
MSI - KONEKTE,"HICD Institutional Strengthening Manager, KONEKTE","Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
Secteur public,Assistant Directeur Administratif,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
Secteur public,Analyste financier,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
Secteur public,SpÃ©cialiste en Ressources Humaines,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
Croix Rouge Americaine,LAMIKA Monitoring and Evaluation (M&E) Manager (National Position),Sciences Ã©conomiques et politiques,31 Mars 15
ASB,Assistante Finance et Ressources Humaines (poste de remplacement pour un congÃ© de maternitÃ©),SecrÃ©tariat,31 Mars 15
CRS,Education Specialist,Sciences de lâ€™Education,31 Mars 15
CRS,Livelihoods Specialist,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
CRS,Social Compliance Officer,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
CRS,Coordinator of Workers Rights Centers,Droit,31 Mars 15
CRS,Chief of Party - Accelerating Learning Program of out of School Youth,Sciences de lâ€™Education,31 Mars 15
OEA/Projet de Reforcement du Cadre Juridique pour les Personnes HandicapÃ©es en HaÃ¯ti,Consultant (e) pour le DÃ©veloppement du plan StratÃ©gique du BSEIPH,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",31 Mars 15
OEA/Projet de Reforcement du Cadre Juridique pour les Personnes HandicapÃ©es en HaÃ¯ti,RÃ©alisation du Guide de RÃ©habilitation Ã  Base Communautaire (RBC),SantÃ© et Professions mÃ©dicales,31 Mars 15
OEA/Projet de Reforcement du Cadre Juridique pour les Personnes HandicapÃ©es en HaÃ¯ti,Module de Formation dÃ©bouchant sur un Certificat en Handicap,Sciences de lâ€™Education,31 Mars 15
OEA/Projet de Reforcement du Cadre Juridique pour les Personnes HandicapÃ©es en HaÃ¯ti,Cartographie des Services pour les Personnes HandicapÃ©es en HaÃ¯ti,SantÃ© et Professions mÃ©dicales,31 Mars 15
J/P HRO,SpÃ©cialiste en Passation de marchÃ©s,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",30 Mars 15
Heifer Haiti,Officier de Formation,Sciences de lâ€™Education,29 Mars 15
GOAL Haiti,DRR Officer,Sciences Humaines et Sociales,27 Mars 15
CARE Haiti,"Program Manager, Participatory Development and Governance","Management/Gestion, Finance, ComptabilitÃ© et Commerce",27 Mars 15
J/P HRO,Grants Officer,- - Non-defini - -,27 Mars 15
J/P HRO,Consultation pour Etude de base WASH,Sciences Humaines et Sociales,27 Mars 15
Palladium Haiti Limited S.A.,Project Assistant to the Chief of Party - Haiti,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",27 Mars 15
Save the Children en Haiti,Dessalines/Artibonite Field Office Director,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",25 Mars 15
Jhpiego,Coordonnateur de Programme MCSP,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",25 Mars 15
Save the Children en Haiti,Coordonnateur de programmes,Sciences de lâ€™Education,24 Mars 15
CRH,Directeur des OpÃ©rations,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",24 Mars 15
CRH,Gestionnaire de Suivi et dâ€™Evaluation,Sciences Ã©conomiques et politiques,24 Mars 15
Concern Worldwide Haiti,Education Project Manager,Sciences de lâ€™Education,24 Mars 15
UNESCO,Responsable de Projet (pour la formation des enseignants),Sciences de lâ€™Education,23 Mars 15
CECI,Coordonnateur (trice) de terrain,Agriculture â€“ Agroalimentaire,23 Mars 15
CECI,Un(e)  Responsable de suivi â€“ Ã©valuation  et en appui au dÃ©veloppement de la programmation,Sciences Humaines et Sociales,23 Mars 15
J/P HRO,IT Support Officer,Sciences Informatiques,23 Mars 15
FINCA Haiti S.A.,Superviseur de CrÃ©dit PME Junior,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",20 Mars 15
GOAL Haiti,Human Resources Officer,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",20 Mars 15
J/P HRO,Affordable Housing Specialist (Chief of Party),"Management/Gestion, Finance, ComptabilitÃ© et Commerce",20 Mars 15
J/P HRO,Home Ownership and Mortgage Expansion Activity (M&E) Manager,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",20 Mars 15
J/P HRO,Home Ownership and Mortgage Expansion (HOME) Facility Manager,"Management/Gestion, Finance, ComptabilitÃ© et Commerce",20 Mars 15
J/P HRO,Housing Finance Specialist (Deputy Chief of Party),"Management/Gestion, Finance, ComptabilitÃ© et Commerce",20 Mars 15
MARNDR/RESEPAG,SpÃ©cialiste technique en appui au Renforcement du rÃ´le du MARNDR dans lâ€™offre de services agricoles,Agriculture â€“ Agroalimentaire,20 Mars 15
TechnoServe,Assistant Administratif,SecrÃ©tariat,20 Mars 15
